Abbreviations,ActiveTime,Currentname,HeadQuarters,LogoDates,Logos,Names,OwnerDate,Owners,Popularevents,SocialMedia,Televisionshows,Website
BRAWL,1999 - today,Bloody Rage American Wrestling League,"New Jersey, USA",Bloody Rage American Wrestling League,/site/main/img/ligen/small/2223.gif,Bloody Rage American Wrestling League (1999 - today),,,,"https://www.facebook.com/BRAWLWrestling,https://www.angelfire.com/nj/brawlwrestling/welcome.html",,
BSP,2020 - today,BloodStorm Pro,"Williamstown, New Jersey, USA",BloodStorm Pro,/site/main/img/ligen/small/3042.gif,BloodStorm Pro (2020 - today),,Eric Pavlacka (2020 - today),,https://twitter.com/BloodStormPro1,,
BWM,2020 - today,Black Wrestlers Matter,"Des Moines, Iowa, USA",Black Wrestlers Matter,/site/main/img/ligen/small/3005.gif,Black Wrestlers Matter (2020 - today),,"Jon West, (2020 - today)",,"https://www.blackwrestlersmatter.com/,https://www.facebook.com/blackwrestlersmatter/,https://twitter.com/BWMdsm,https://blackwrestlersmatter.bigcartel.com/",,
BMLL,2017 - today,Black Mask Lucha Libre,"Acapulco, Guerrero, Mexiko",Black Mask Lucha Libre,/site/main/img/ligen/small/2541.gif,Black Mask Lucha Libre (2017 - today),,,,"https://www.facebook.com/BlackMaskLuchaLibre/,https://twitter.com/blackmasklucha",,
Blake Robertson Promotions,194x,Blake Robertson Promotions,"Windsor, Ontario, Canada",,,Blake Robertson Promotions (),,Blake Robertson (Blake Robertson),,,,
BWO,2005 - 2007,Blackball'd Wrestling Organization,"Phoenixville, Pennsylvania, USA",Blackball'd Wrestling Organization,/site/main/img/ligen/small/1270.gif,Blackball'd Wrestling Organization (2005 - 2007),,"Rockin' Rebel, (2005 - 2007)",,,,
BHW,2013,Birmingham Hardcore Wrestling,"Birmingham, Alabama, USA",Birmingham Hardcore Wrestling,/site/main/img/ligen/small/2992.gif,Birmingham Hardcore Wrestling (2013),,"John Rare, & Frog (2013 - 2013)",,https://www.facebook.com/Birmingham-Hardcore-Wrestling-454416251260455,,
Bill Bailey Promotions,193x - 1941,Bill Bailey Promotions,"San Jose, California, USA",,,Bill Bailey Promotions (193x - 1941),,Bill Bailey (193x - 1941),,,,
Blackcraft,2018 - 2019,Blackcraft Wrestling,"Pittsburgh, Pennsylvania, USA",Blackcraft Wrestling,/site/main/img/ligen/small/2174.gif,Blackcraft Wrestling (2018 - 2019),,Bobby Schubenski (2018 - 2019),,https://blackcraftwrestling.com/,,
Bizarro Lucha,2018 - today,Bizarro Lucha,"Indianapolis, Indiana, USA",Bizarro Lucha,/site/main/img/ligen/small/2233.gif,Bizarro Lucha (2018 - today),,,,"https://www.facebook.com/BizarroLucha,https://twitter.com/bizarrolucha",,
BDW,2003 - today,Black Diamond Wrestling,"Wheeling, West Virginia, USA",Black Diamond Wrestling,/site/main/img/ligen/small/386.gif,Black Diamond Wrestling (2003 - today),,"Rikk Diamond (2009 - today),Big Dawg & Rikk Diamond (2008 - 2009),Rikk Diamond (2003 - 2008)",,"https://www.facebook.com/BlackDiamondWrestling,http://blackdiamonduniverse.com/,https://twitter.com/bdwwrestling,https://www.youtube.com/user/BDWrestling",,
BBWF,2016 - 2018,Bigger Better Wrestling Federation,"North Plainfield, New Jersey, USA",Bigger Better Wrestling Federation,/site/main/img/ligen/small/1956.gif,Bigger Better Wrestling Federation (2016 - 2018),,Dan Ramm (2016 - 2018),,"https://www.facebook.com/BBWFPrimetime/,https://www.youtube.com/channel/UCX5KQ3rIUL-afKoYDhMwM8g/videos,https://twitter.com/bbwfnews",,
BWW,2011 - today,Big West Wrestling,"Kelowna, British Columbia, Canada",Big West Wrestling,/site/main/img/ligen/small/972.gif,Big West Wrestling (2011 - today),,,,"http://www.bigwestwrestling.com,https://www.facebook.com/BigWestWrestling,https://twitter.com/BigWestOkanagan,https://www.youtube.com/user/bigwestwrestling",,
BTW,1997 - today,Big Time Wrestling       ,"Huntington, West Virginia, USA",Big Time Wrestling       ,/site/main/img/ligen/small/2478.gif,Big Time Wrestling       (1997 - today),,,,https://www.facebook.com/BIGTIMEPROWRESTLING,,
"NWA Detroit, BTW",1945 - 1980,Big Time Wrestling   ,"Detroit, Michigan, USA",Big Time Wrestling   ,/site/main/img/ligen/small/400.gif,"Big Time Wrestling    (1964 - 1980),National Wrestling Alliance Detroit (1948 - 1964),Harry Light Wrestling Office (1945 - 1948)",,"Francis Flesher & ,The Sheik, (1964 - 1980),Johnny Doyle & ,Jim Barnett, (1958 - 1964),Harry Light (1945 - 1958)",,,,
BTW,1961 - today,Big Time Wrestling ,"Webster, Massachusetts, USA",Big Time Wrestling ,/site/main/img/ligen/small/537.gif,Big Time Wrestling  (1961 - today),,"Terry Allen, (2006 - today),Tony Santos (1961 - 1975)",,"http://www.big-time-wrestling.com,https://www.facebook.com/pages/Big-Time-Wrestling/104752689708?fref=ts,https://twitter.com/btwwrestling",,
BTPW,2004 - today,Big Time Pro Wrestling,"Ottawa, Ontario, Canada",Big Time Pro Wrestling,/site/main/img/ligen/small/1539.gif,Big Time Pro Wrestling (2004 - today),,,,"http://www.bigtimeprowrestling.ca/,https://twitter.com/BTPWCANADA,https://www.youtube.com/user/BTPWCANADA?feature=mhee",,
BTW,2013 - today,Big Texas Wrestling,"Cleburne, Texas, USA",Big Texas Wrestling,/site/main/img/ligen/small/1822.gif,Big Texas Wrestling (2013 - today),,,,https://www.facebook.com/BigTexasWrestling/,,
BVW,2014 - today,Big Valley Wrestling,"Las Vegas, Nevada, USA",Big Valley Wrestling,/site/main/img/ligen/small/1635.gif,Big Valley Wrestling (2014 - today),,,,"https://bigvalleywrestling.weebly.com/,https://www.facebook.com/bigvalleywrestling/,https://twitter.com/BVWrestlingLV,https://www.youtube.com/channel/UCAQHkM_rywkL3GY3IJNv0RQ",,
BTW,1996 - today,Big Time Wrestling,"Fremont, California, USA",Big Time Wrestling,/site/main/img/ligen/small/374.gif,Big Time Wrestling (1996 - today),,Kirk White (1996 - 2021),,"http://www.btwrestling.com,https://www.facebook.com/btwrestling,https://twitter.com/btwrestlingca,https://instagram.com/bigtimewrestlingca/,https://www.youtube.com/channel/UCpIg9eCLL6AgVb9k0-QKyGw/featured",,
Big Punch,2018 - today,Big Punch Promotions,"Tijuana, Baja California, Mexiko",Big Punch Promotions,/site/main/img/ligen/small/3040.gif,Big Punch Promotions (2018 - today),,,,https://www.facebook.com/bigpunchmx/,,
Big Lucha,2021 - today,Big Lucha,"Mexico City, Distrito Federal, Mexiko",Big Lucha,/site/main/img/ligen/small/3068.gif,Big Lucha (2021 - today),,"Bandido, (2021 - today)",,"https://www.facebook.com/bigluchamx,https://www.instagram.com/bigluchamx/",,
Evolucion,2013 - today,Evolucion Lucha Libre,"Tijuana, Baja California, Mexiko",Evolucion Lucha Libre,/site/main/img/ligen/small/1195.gif,Evolucion Lucha Libre (2013 - today),,Enrique Ayala (2013 - today),,https://www.facebook.com/pages/Evolucion-LUCHA-LIBRE/585697388147881,,
"BDPW, BDCW",1993 - 1994,Big D Pro Wrestling,"Dallas, Texas, USA",,,"Big D Pro Wrestling (1993 - 1994),Big D Championship Wrestling (1993 - 1994)",,"Big D, (1993 - 1994)",,,,
Big Bear Promotions ,1964 - 1965,Big Bear Promotions ,"Arizona, USA",,,Big Bear Promotions  (1964 - 1965),,"Al Kashey, (1964 - 1965)",,,,
Estilo Simio,2018,Estilo Simio,"Valparaiso, Chile",Estilo Simio,/site/main/img/ligen/small/2124.gif,Estilo Simio (2018),,,,"https://www.facebook.com/estilosimio/,https://www.instagram.com/estilosimiolucha/,https://www.youtube.com/channel/UC7PYBIyvWjcP2vShOlFqqyg",,
EPWD,2020 - today,Espiritu Pro Wrestling Dojo,"San Juan, Puerto Rico, USA",Espiritu Pro Wrestling Dojo,/site/main/img/ligen/small/3080.gif,Espiritu Pro Wrestling Dojo (2020 - today),,,,"https://www.facebook.com/epwdojo.2018/,https://www.instagram.com/epwdojo.2018/,https://www.youtube.com/channel/UCKFRYoN8WzMCkweKyLlCPUQ",,
ELL,2009 - today,Equipos de Lucha Libre,"Bogota, Kolumbien",Equipos de Lucha Libre,/site/main/img/ligen/small/2022.gif,Equipos de Lucha Libre (2009 - today),,,,https://www.facebook.com/Equipos-De-Lucha-Libre-Colombia-ELL-264014327039124/,,
Enjoy,2020 - today,Enjoy Wrestling,"Pittsburgh, Pennsylvania, USA",Enjoy Wrestling,/site/main/img/ligen/small/2944.gif,Enjoy Wrestling (2020 - today),,"Kurt Hackimer, Maxx Gregg, Scotty Swemba & Taylor Gregg (2020 - today)",,"http://www.enjoy-wrestling.com,https://twitter.com/EnjoyWrestle,https://www.facebook.com/enjoywrestling,https://www.instagram.com/enjoywrestling,https://www.youtube.com/channel/UCfsmz7-5_Gw2UlPmCn1LMjQ",,
EQ,2011 - 2013,Equilibrium Pro Wrestling,"Tacoma, Washington, USA",Equilibrium Pro Wrestling,/site/main/img/ligen/small/1121.gif,Equilibrium Pro Wrestling (2011 - 2013),,,,"http://facebook.com/EquilibrumPro,http://www.youtube.com/user/equilibrumpro8",,
EWE,2017 - today,Epic Wrestling Entertainment,"Jeffersonville, Indiana, USA",Epic Wrestling Entertainment,/site/main/img/ligen/small/2400.gif,Epic Wrestling Entertainment (2017 - today),,,,"https://ewewrestling.com,https://www.facebook.com/EpicWrestlingEntertainment,https://twitter.com/ewewrestling_,https://www.instagram.com/ewewrestling_,https://www.youtube.com/channel/UCuUBTMOVAyfsrPI4w9x3NYw",,
ELLMEX,2001 - today,Empresa de Lucha Libre Mexicana,"Chicago, Illinois, USA",Empresa de Lucha Libre Mexicana,/site/main/img/ligen/small/1254.gif,Empresa de Lucha Libre Mexicana (2001 - today),,Pedro Ocampo Sr. (2001 - today),,https://www.facebook.com/pages/Ellmex-Lucha-Libre-Mexicana-en-Chicago/333743660061249,,
ENESMA,2004 - 2005,Entretenimientos y Espectaculos Masivos,Mexiko,,,Entretenimientos y Espectaculos Masivos (2004 - 2005),,Marcos Medina & Hugo Medina (2004 - 2005),,,,
"ERLL, LLR",2009 - today,Empresa Regiomontana de Lucha Libre,"Apodaca, Nuevo Leon, Mexiko",Empresa Regiomontana de Lucha Libre,/site/main/img/ligen/small/788.gif,"Empresa Regiomontana de Lucha Libre (21.11.2010 - today),Lucha Libre Regia (16.08.2009 - 21.11.2010)",,Miguel Ceron (16.08.2009 - today),,https://www.facebook.com/empresaregiomontana.luchalibre,,
EMILL,2012 - today,Empresa Mexicana Independiente de Lucha Libre,"Hidalgo, Mexiko",Empresa Mexicana Independiente de Lucha Libre,/site/main/img/ligen/small/936.gif,Empresa Mexicana Independiente de Lucha Libre (2012 - today),,Nohely Madrid (2012 - today),,,,
Empower,2019 - today,Empower Wrestling,"New Jersey, USA",Empower Wrestling,/site/main/img/ligen/small/2587.gif,Empower Wrestling (2019 - today),,,,"https://www.empowerwrestling.com/,https://twitter.com/empowerwrestle,https://www.instagram.com/empowerwrestling,https://www.youtube.com/channel/UCj612q1pNEoxGULXxJVog5g,https://www.facebook.com/Empower-Wrestling-2226808090759425/",,
EWF,1998 - 2000,Empire Wrestling Federation ,"Burlington, Ontario, Canada",,,Empire Wrestling Federation  (1998 - 2000),,,,,,
EWF,1996 - today,Empire Wrestling Federation,"San Bernardino, California, USA"," (2012 - today), ( - 2011)","/site/main/img/ligen/small/164__2012-.gif,/site/main/img/ligen/small/164__-2011.gif",Empire Wrestling Federation (1996 - today),,"Jesse Hernandez, (1999 - today),Bill Anderson, & ,Jesse Hernandez, (1996 - 1999)",,"http://www.empirewrestlingfederation.com,https://www.facebook.com/groups/490896427619169/,https://twitter.com/EWFEmpire,https://twitter.com/ewfjesse,http://www.youtube.com/user/TeamMetal",,
ESW,2002 - today,Empire State Wrestling,"New York, USA",Empire State Wrestling,/site/main/img/ligen/small/892.gif,Empire State Wrestling (2002 - today),,Brett Stymus (2002 - 2003),,"http://www.eswwrestling.com,https://www.facebook.com/ESWwrestling,https://twitter.com/ESWWrestling,https://www.instagram.com/eswwrestling/,http://www.youtube.com/user/EmpireStateWrestling",,
EWA,1996 - 1997,Empire Wrestling Association,"New Jersey, USA",,,Empire Wrestling Association (1996 - 1997),,Ron Post (1996 - 1997),,,,
"XUW, SWCW, EmpCW, EPW",2007 - today,Empire Pro Wrestling,"Oklahoma City, Oklahoma, USA"," (2020 - today), (2015 - 2019), (2007 - 2014)","/site/main/img/ligen/small/2198__2020-.gif,/site/main/img/ligen/small/2198__2015-2019.gif,/site/main/img/ligen/small/2198__2007-2014.gif","Empire Pro Wrestling (2020 - today),Empire Championship Wrestling (2015 - 2020),Sooner World Class Wrestling (2007 - 2015),Xtreme Underground Wrestling (2007)",,,,"https://www.facebook.com/EmpireProWrestlingOKC/,https://www.youtube.com/EmpireProWrestlingOKC",,
,1922 - 1926,Empire Athletic Club,"Winnipeg, Manitoba, Canada",,,Empire Athletic Club (1922 - 1926),,,,,,
ElkMania,2013 - 2020,ElkMania Promotions,"Beverly, Massachusetts, USA",ElkMania Promotions,/site/main/img/ligen/small/1548.gif,ElkMania Promotions (2013 - 2020),,"Atlee Greene,, ,Derek Simonetti, & ,Shane Daly, (2013 - 2020)",,https://www.youtube.com/channel/UCqpPAMx6UgxbYoW2DiLBhrA,,
EXW,2010 - 2011,Elite Xtreme Wrestling,"Phoenix, Arizona, USA",Elite Xtreme Wrestling,/site/main/img/ligen/small/749.gif,Elite Xtreme Wrestling (2010 - 2011),,Saleem Erakat (2010 - 2011),,,,
EWE,2010 - 2016,Empire Wrestling Entertainment,"Rossville, Georgia, USA",Empire Wrestling Entertainment,/site/main/img/ligen/small/1547.gif,Empire Wrestling Entertainment (2010 - 2016),,,,"http://www.empirewrestling.net/,https://www.facebook.com/EmpireWrestling,https://twitter.com/EmpirePW",,
,1930 - 1934,Emil Klank Promotions,"Vancouver, British Columbia, Canada",,,Emil Klank Promotions (1930 - 1934),,Emil Klank (Emil Klank),,,,
EWR,2004 - 2005,Elite Wrestling Revolution,"Quebec City, Quebec, Canada",Elite Wrestling Revolution,/site/main/img/ligen/small/488.gif,Elite Wrestling Revolution (2004 - 2005),,"Eric Picard, (2004 - 2005)",,http://www.myspace.com/ewrwrestling,,
EWE,2015 - today,Elite Wrestling Entertainment,"Phoenix, Arizona, USA",Elite Wrestling Entertainment,/site/main/img/ligen/small/2026.gif,Elite Wrestling Entertainment (2015 - today),,,,"https://www.facebook.com/eweproelite/,https://twitter.com/eweproelite1,https://www.instagram.com/ewewrestlingpro/,https://www.youtube.com/channel/UCi8X_y6-2e8jrA-2OkKHXSg",,
EWE,2005 - 2006,Elite Wrestling Entertainment ,"Tampa, Florida, USA",Elite Wrestling Entertainment ,/site/main/img/ligen/small/3294.gif,Elite Wrestling Entertainment  (2005 - 2006),,,,,,
EWA,2000 - 2001,Elite Wrestling Alliance,"Massachusetts, USA",,,Elite Wrestling Alliance (2000 - 2001),,Craig Callier (2000 - 2001),,,,
EWI,2011 - today,Elite Wrestling Initiative,"Mandan, North Dakota, USA",Elite Wrestling Initiative,/site/main/img/ligen/small/2844.gif,Elite Wrestling Initiative (2011 - today),,,,"https://elitewrestlinginitiative.com/,https://www.facebook.com/Elite-Wrestling-Initiative-202074813238113/,https://www.youtube.com/user/EWIwrestling/",,
EPWA,2009 - today,Elite Pro Wrestling Alliance,"Ridgeley, West Virginia, USA",Elite Pro Wrestling Alliance,/site/main/img/ligen/small/2741.gif,Elite Pro Wrestling Alliance (2009 - today),,,,"http://eliteprowrestlingtraining.blogspot.com,https://www.youtube.com/user/EliteProUniverse,https://www.facebook.com/pg/EliteProUniverse",,
Elite Pro,2006 - 2009,Elite Pro Wrestling,"Illinois, USA",Elite Pro Wrestling,/site/main/img/ligen/small/2294.gif,Elite Pro Wrestling (2006 - 2009),,"Brandon Thomaselli,, ,Sal Thomaselli, & ,Vito Thomaselli, (2006 - 2009)",,,,
,2014 - today,Elite Impact Wrestling,"Dyersburg, Tennessee, USA",Elite Impact Wrestling,/site/main/img/ligen/small/1768.gif,Elite Impact Wrestling (10.10.2014 - today),,,,https://www.facebook.com/Elite-Impact-Wrestling-575226995939197/?ref=ts&fref=ts,,
Elite,2011 - today,Elite Championship Wrestling,"Gulf Breeze, Florida, USA","Elite Championship Wrestling, ( - 18.01.2019)","/site/main/img/ligen/small/1313.gif,/site/main/img/ligen/small/1313__-20190118.gif",Elite Championship Wrestling (2011 - today),,David Pitre Jr. (2011 - today),,"https://www.facebook.com/EliteChampionshipWrestlingFL,https://www.youtube.com/channel/UCPvzdDk0PHBZF1vSxdyzTdw",,
ECW,2011,Elite Championship Wrestling ,"Ozark, Alabama, USA",,,Elite Championship Wrestling  (2011),,,,,,
Elev8 Pro,2017 - today,Elev8 Pro,"Chalmette, Louisiana, USA",Elev8 Pro,/site/main/img/ligen/small/2881.gif,Elev8 Pro (2017 - today),,Brittani Houghtlen & Mott Fleming (2017 - today),,"https://www.elev8pro.com/,https://twitter.com/elev8pro,https://www.facebook.com/elev8pro/",,
ElektroLucha,2012 - today,ElektroLucha,"Mexico City, Mexiko",ElektroLucha,/site/main/img/ligen/small/959.gif,ElektroLucha (2012 - today),,"El Intocable, & Antonio Olmos (2012 - today)",,"https://www.facebook.com/ElektroluchaOficial,https://twitter.com/ELEKTROLUCHA,https://twitter.com/elektroluchavip",,
ECCW,1996 - today,Elite Canadian Championship Wrestling,"Vancouver, British Columbia, Canada",Elite Canadian Championship Wrestling,/site/main/img/ligen/small/134.gif,"Elite Canadian Championship Wrestling (2012 - today),Extreme Canadian Championship Wrestling (1996 - 2011)",,"Scotty Mac, & ,Mother Diaz, (26.07.2020 - today),Scotty Mac,, ,Mother Diaz, & ,The Natural, (11.09.2010 - 26.07.2020),Dave Republic, (1997 - 11.09.2010),Michelle Starr, (1996 - 1997)","Ballroom Brawl,Halloween Hell,Pacific Cup","http://www.eccw.com,https://www.facebook.com/EliteCanadianChampionshipWrestling,https://twitter.com/ECCW,https://www.youtube.com/user/ECCWdotcom",,
EPWA,1918 - 1950,El Paso Wrestling Association,"El Paso, Texas, USA",,,El Paso Wrestling Association (1918 - 1950),,"John McIntosh (1948 - 1950),Don Hill (1945 - 1948),Ben Trabbic (1944 - 1945),Harry Coffman (1939 - 1944),John McIntosh (1918 - 1939)",,,,
El Club Producciones,,El Club Producciones,"Ciudad y Puerto de Veracruz, Veracruz, Mexiko",El Club Producciones,/site/main/img/ligen/small/1714.gif,El Club Producciones ( - today),,,,"http://elclubproducciones.com/,http://elclubproduccionesfusion.blogspot.de/,https://www.facebook.com/ElClubProduccioneslaFusion,https://twitter.com/clubproduccions,https://www.youtube.com/channel/UCiq2wWKI7aLwS0ovdjTQrgg",,
Eclipse Wrestling,2017 - today,Eclipse Wrestling,"Altoona, Pennsylvania, USA",Eclipse Wrestling,/site/main/img/ligen/small/2643.gif,Eclipse Wrestling (2017 - today),,Zavier Diamond (2017 - today),,"https://www.eclipsewrestle.com,https://www.facebook.com/EclipseWrestle,https://www.facebook.com/groups/1551858048207156,https://twitter.com/eclipsewrestle",,
EWA,1974 - 1989,Eastern Wrestling Association ,"Lexington, North Carolina, USA",,,Eastern Wrestling Association  (1974 - 1989),,Johnny Hunter (1974 - 1989),,,,
ETWA,1992 - today,Eastern Townships Wrestling Association,"Newport, Vermont, USA",Eastern Townships Wrestling Association,/site/main/img/ligen/small/2295.gif,Eastern Townships Wrestling Association (1992 - today),,"Adam Lash & ,Donny Myers, (2019 - today),Donny Myers, (1992 - 2019)",,"https://www.etwaprowrestling.com,https://twitter.com/etwawrestling,https://www.facebook.com/ETWAprowrestling,https://www.instagram.com/etwawrestling,https://www.youtube.com/ETWAProWrestling",,
EWA,1997 - 2013,Eastern Wrestling Alliance,"Springfield, Massachusetts, USA",Eastern Wrestling Alliance,/site/main/img/ligen/small/2279.gif,Eastern Wrestling Alliance (1997 - 2013),,"Dr. Heresy, (2009 - 2013),Dr. Heresy, & ,Maverick Wild, (2004 - 2008),Dr. Heresy,, ,Steve Ramsey,, ,Scott King, & ,Brian Black, (2002 - 2003),Steve Ramsey,, ,Scott King, & ,Brian Black, (2001 - 2002),James St. Jean & Bob Staples (1997 - 2001)",,https://www.facebook.com/Eastern-Wrestling-Alliance-228362257183961/,,
ESW,1994 - 2000,Eastern States Wrestling,"Troy, New York, USA",,,"Eastern States Wrestling (1998 - 2000),Eastern Shores Wrestling (1994 - 1998)",,"Brian Leatham (1998 - 2000),Louis Reardon (1994 - 1998)",,,,
EWA,2004 - today,Eastern Wrestling Association,"Baltimore, Maryland, USA",Eastern Wrestling Association,/site/main/img/ligen/small/2343.gif,"Eastern Wrestling Association (2014 - today),Eastern Wrestling Alliance  (2004 - 2014)",,"Jim Christian, (2004 - today)",,"https://www.facebook.com/ewamaryland,https://www.youtube.com/channel/UCi6biXBSGpQ9_p67fKl79dg",,
ECWA,2001 - 2002,East Coast Wrestling Alliance,"Pennsylvania, USA",,,East Coast Wrestling Alliance (2001 - 2002),,Jackie Murray (2001 - 2002),,,,
EPW,2006 - 2016,Eastern Pro Wrestling,"Connecticut, USA",Eastern Pro Wrestling,/site/main/img/ligen/small/1560.gif,Eastern Pro Wrestling (2006 - 2016),,"Bob Evans, (2006 - 2016)",,,,
EPWE Underground,2011 - 2017,Eastern Pennsylvania Wrestling Entertainment Underground,"Allentown, Pennsylvania, USA",Eastern Pennsylvania Wrestling Entertainment Underground,/site/main/img/ligen/small/1640.gif,Eastern Pennsylvania Wrestling Entertainment Underground (2011 - 2017),,,August Mania: Final Confrontation,"https://www.facebook.com/EPWEUnderground,https://twitter.com/epweunderground,https://www.youtube.com/channel/UC-uIkBBABBzAB8g2WYwa2Hg",,
Eastern States Enterprises,1932 - 1957,Eastern Sports Enterprises,"New York City, New York, USA",,,Eastern Sports Enterprises (1932 - 1957),,"Rudy Dusek, (1939 - 1957),Rudy Dusek,, Jimmie Johnston & Bill Johnston (1936 - 1939),Fred Hanly & Ray Hanley (1932 - 1936)",,,,
ECPW,2003 - today,East Coast Pro Wrestling ,"Nova Scotia, Canada",East Coast Pro Wrestling ,/site/main/img/ligen/small/1912.gif,East Coast Pro Wrestling  (2003 - today),,,,https://www.facebook.com/ECPWcanada/,,
ECPW,1991 - today,East Coast Pro Wrestling,"Lake Hiawatha, New Jersey, USA",East Coast Pro Wrestling,/site/main/img/ligen/small/714.gif,East Coast Pro Wrestling (1991 - today),,"Gino Caruso, (1991 - today)",,"http://www.ecpw1.com/,https://www.facebook.com/EastCoastProfessionalWrestling",,
"EPWW, PWW, EPIC",2004 - 2012,EPIC Pro Wrestling WAR,"Santa Ana, California, USA",EPIC Pro Wrestling WAR,/site/main/img/ligen/small/42.gif,"EPIC Pro Wrestling WAR (2007 - 2012),Pro Wrestling WAR (2004 - 2006),EPIC Pro Wrestling (2002 - 2003)",,Gary Yap (2002 - 2012),,,,
EBPW,2015 - today,East Bay Pro Wrestling,"Pacheco, California, USA",East Bay Pro Wrestling,/site/main/img/ligen/small/1674.gif,East Bay Pro Wrestling (2015 - today),,,,"https://www.facebook.com/EBPWrestling/,https://twitter.com/EBPWrestling,https://www.youtube.com/channel/UCT2972b-RK13rGsTBEHWS2w",,
ECHO Pro,2009 - 2010,ECHO Pro,"Waite Park, Minnesota, USA",ECHO Pro,/site/main/img/ligen/small/502.gif,ECHO Pro (2009 - 2010),,"John Black, (2009 - 2010)",,https://www.youtube.com/user/ECHOProWrestling,,
EMERGE,2015 - today,EMERGE Wrestling,"Columbus, Indiana, USA",EMERGE Wrestling,/site/main/img/ligen/small/1569.gif,EMERGE Wrestling (2015 - today),,,,"http://www.emergewrestling.com/,https://www.facebook.com/emergewrestling/,https://twitter.com/emergewrestling,https://www.youtube.com/user/emergeprowrestling,https://instagram.com/emergeprowrestling",,
DBi,2012 - today,Dustin Batdorff Invitational: Dropkick Addiction,"Massillon, Ohio, USA",Dustin Batdorff Invitational: Dropkick Addiction,/site/main/img/ligen/small/1926.gif,Dustin Batdorff Invitational: Dropkick Addiction (2012 - today),,"Juice Jennings, (2012 - today)",,https://www.facebook.com/DustinBatdorffInvitational/,,
"Dynamo Pro, NWA Dynamo Pro, NWA Central States Missouri, NWA CSW MO",2007 - today,Dynamo Pro Wrestling,"St. Louis, Missouri, USA",Dynamo Pro Wrestling,/site/main/img/ligen/small/558.gif,"Dynamo Pro Wrestling (2012 - today),National Wrestling Alliance Dynamo Pro Wrestling (2008 - 2012),National Wrestling Alliance Central States Wrestling Missouri (2007 - 2008)",,Jim Yount & Crystal Yount (2007 - today),,"http://dynamoprowrestling.com/,https://www.facebook.com/DynamoProWrestling,https://twitter.com/dynamopro,http://www.myspace.com/nwacswmo,https://www.youtube.com/user/dynamoprowrestling",,
,2003 - today,Dynamite Championship Wrestling,"Delaware, USA",Dynamite Championship Wrestling,/site/main/img/ligen/small/1776.gif,"Dynamite Championship Wrestling (xx.02.2004 - today),Delaware Championship Wrestling (09.02.2003 - xx.02.2004)",,,,"http://www.dcwprowrestling.com/,https://www.facebook.com/DCWPROWRESTLING,https://twitter.com/DCWNoLimits,https://www.youtube.com/c/DCWWrestling1",,
DW,2016,Drive Wrestling,"California, USA",Drive Wrestling,/site/main/img/ligen/small/1929.gif,Drive Wrestling (2016),,,,https://www.facebook.com/Drive-Wrestling-778871145576762/,,
Dropkick Depression,2017 - today,Dropkick Depression,"Old Bridge, New Jersey, USA",Dropkick Depression,/site/main/img/ligen/small/2178.gif,Dropkick Depression (2017 - today),,"Terra Calaway, (2017 - today)",,"https://www.dropkickdepression.com,https://www.facebook.com/DropkickDepression,https://twitter.com/operationdd,https://www.instagram.com/dropkickdepression,https://www.youtube.com/channel/UCVJ95Ozu_wx-_5-pQMT5BIA,https://www.patreon.com/dropkickdepression",,
,2016,Dominion Championship Wrestling,"Virginia, USA",Dominion Championship Wrestling,/site/main/img/ligen/small/1766.gif,Dominion Championship Wrestling (2016),,,,https://www.facebook.com/DominionChampionshipWrestling,,
DCW,2008 - 2009,Durham Championship Wrestling,"Ontario, Canada",Durham Championship Wrestling,/site/main/img/ligen/small/503.gif,Durham Championship Wrestling (2008 - 2009),,,,,,
DOA,2008 - today,Don't Own Anyone Pro Wrestling,"Portland, Oregon, USA",Don't Own Anyone Pro Wrestling,/site/main/img/ligen/small/723.gif,Don't Own Anyone Pro Wrestling (24.08.2008 - today),,Andrew Bruce Casttle & Ben England (24.08.2008 - today),,"http://www.doaprowrestling.com/,https://www.facebook.com/DOAProWrestling,https://twitter.com/doaprowrestling,http://youtube.com/doaprowrestling",,
DWE,2008 - today,Dominican Wrestling Entertainment,Dominikanische Republik,Dominican Wrestling Entertainment,/site/main/img/ligen/small/518.gif,Dominican Wrestling Entertainment (2008 - today),,,,"http://www.dwesfm.es.tl,https://www.facebook.com/dwelucha,https://twitter.com/dweLucha",,
DZW,2016 - today,Domination Zone Wrestling Inc.,"Katy, Texas, USA",Domination Zone Wrestling Inc.,/site/main/img/ligen/small/2936.gif,Domination Zone Wrestling Inc. (2016 - today),,Colony Soto (2016 - today),,"http://www.dzwrestling.com/,https://www.facebook.com/DZWrestling,https://twitter.com/dzwrestling,https://www.instagram.com/dzwrestling1113/,https://www.youtube.com/channel/UC5slyaQvDbXoskIwr2voVzA",,
Division Pro,2017,Division Pro Wrestling,"Florida, USA",Division Pro Wrestling,/site/main/img/ligen/small/1967.gif,Division Pro Wrestling (2017),,,,"https://www.divisionpro.tv/,https://www.facebook.com/divisionpro.tv/,https://twitter.com/divisionpro_tv,https://www.instagram.com/divisionpro.tv/,https://www.youtube.com/channel/UC1dChjHO1JfRtuMo5cQA80g",,
